amount,time_of_day,location_risk,transaction_type
14.1,12,0.122,WITHDRAWAL
166.08,18,0.138,PURCHASE
37.51,13,0.388,PURCHASE
1.18,11,0.163,PURCHASE
852.64,15,0.548,PAYMENT
502.09,17,0.093,PURCHASE
146.12,22,0.269,PURCHASE
902.44,22,0.234,PURCHASE
9.75,12,0.411,TRANSFER
163.2,7,0.158,TRANSFER
0.86,16,0.204,WITHDRAWAL
821.06,21,0.438,PAYMENT
553.59,15,0.288,TRANSFER
53.81,18,0.089,WITHDRAWAL
136.18,10,0.082,PURCHASE
125.2,8,0.273,WITHDRAWAL
3.5,7,0.39,WITHDRAWAL
16.39,18,0.408,PURCHASE
31.77,7,0.517,PAYMENT
13.43,9,0.138,PAYMENT
25.53,15,0.285,WITHDRAWAL
5.71,7,0.337,TRANSFER
183.1,9,0.305,PURCHASE
116.91,15,0.294,PURCHASE
236.82,12,0.26,WITHDRAWAL
5.37,17,0.058,PAYMENT
16.27,7,0.539,PAYMENT
44.18,10,0.168,TRANSFER
8.92,9,0.28,WITHDRAWAL
149.21,15,0.414,PAYMENT
30.96,12,0.367,TRANSFER
41.66,10,0.256,PAYMENT
58.17,18,0.357,PAYMENT
64.36,11,0.4,PURCHASE
2.05,13,0.069,PAYMENT
79.29,8,0.137,TRANSFER
41.92,12,0.226,TRANSFER
58.16,8,0.048,TRANSFER
75.02,17,0.316,WITHDRAWAL
212.75,10,0.093,WITHDRAWAL
1115.48,7,0.333,TRANSFER
207.51,18,0.523,TRANSFER
5.43,8,0.055,PAYMENT
91.92,15,0.379,PAYMENT
422.65,13,0.232,PAYMENT
8.92,19,0.068,PAYMENT
31.62,17,0.461,PURCHASE
2.62,17,0.45,WITHDRAWAL
19.43,12,0.245,PAYMENT
18.29,7,0.113,PURCHASE
346.19,9,0.431,TRANSFER
131.77,7,0.428,PURCHASE
238.82,15,0.186,WITHDRAWAL
95.15,7,0.161,PAYMENT
4.3,10,0.424,WITHDRAWAL
16.97,9,0.481,WITHDRAWAL
181.3,9,0.29,PAYMENT
282.92,8,0.271,WITHDRAWAL
241.53,17,0.13,PURCHASE
29.97,8,0.439,TRANSFER
18.45,17,0.308,PAYMENT
4.84,11,0.264,TRANSFER
11.6,21,0.085,PURCHASE
7.14,19,0.37,PURCHASE
468.37,16,0.385,WITHDRAWAL
145.66,14,0.547,TRANSFER
65.4,10,0.392,PAYMENT
91.08,15,0.097,WITHDRAWAL
1069.17,8,0.1,WITHDRAWAL
22.66,9,0.086,PAYMENT
18.83,17,0.428,TRANSFER
32.29,15,0.299,TRANSFER
54.62,9,0.301,WITHDRAWAL
45.22,10,0.365,WITHDRAWAL
114.05,11,0.093,TRANSFER
55.37,8,0.062,PAYMENT
193.6,11,0.223,PURCHASE
27.53,16,0.178,PAYMENT
99.95,14,0.637,PAYMENT
623.39,8,0.227,TRANSFER
127.64,13,0.534,WITHDRAWAL
184.37,12,0.117,WITHDRAWAL
15.23,14,0.578,TRANSFER
126.27,15,0.146,PURCHASE
494.46,19,0.116,PAYMENT
17.12,10,0.256,TRANSFER
188.99,12,0.399,PURCHASE
19.28,15,0.271,PAYMENT
157.57,8,0.229,TRANSFER
284.61,10,0.256,TRANSFER
23.49,18,0.307,TRANSFER
55.58,16,0.326,WITHDRAWAL
18.93,15,0.754,WITHDRAWAL
293.3,8,0.579,PAYMENT
33.5,9,0.293,PURCHASE
223.62,13,0.334,WITHDRAWAL
91.05,13,0.082,WITHDRAWAL
331.93,13,0.17,TRANSFER
49.91,19,0.324,WITHDRAWAL
116.58,10,0.188,PURCHASE
129.24,10,0.301,TRANSFER
565.36,12,0.673,WITHDRAWAL
582.76,17,0.266,PAYMENT
82.11,10,0.101,PAYMENT
64.84,15,0.173,PAYMENT
12.27,21,0.266,PAYMENT
29.67,9,0.44,PURCHASE
6.92,16,0.285,WITHDRAWAL
6.63,16,0.442,PURCHASE
601.57,8,0.123,PAYMENT
25.15,19,0.241,TRANSFER
91.19,13,0.354,PURCHASE
106.04,14,0.006,PAYMENT
144.43,16,0.234,WITHDRAWAL
20.96,14,0.46,TRANSFER
32.14,11,0.368,PAYMENT
100.56,17,0.274,PURCHASE
25.0,11,0.127,WITHDRAWAL
64.73,15,0.5,PURCHASE
2.17,14,0.306,PURCHASE
54.72,8,0.258,TRANSFER
111.44,7,0.14,WITHDRAWAL
23.66,18,0.073,PAYMENT
3.42,11,0.464,WITHDRAWAL
46.32,16,0.444,PURCHASE
282.97,15,0.205,PAYMENT
123.65,11,0.245,TRANSFER
66.94,10,0.344,PURCHASE
42.39,17,0.273,WITHDRAWAL
23.2,7,0.324,PAYMENT
8.94,9,0.68,PURCHASE
10.87,8,0.332,TRANSFER
25.05,11,0.434,PURCHASE
67.93,20,0.258,PAYMENT
67.74,15,0.183,WITHDRAWAL
32.27,16,0.479,TRANSFER
124.86,19,0.21,TRANSFER
77.77,7,0.352,PURCHASE
431.52,18,0.34,PURCHASE
6.84,15,0.188,WITHDRAWAL
36.02,17,0.252,PURCHASE
144.28,11,0.03,TRANSFER
478.28,17,0.349,WITHDRAWAL
22.82,11,0.561,WITHDRAWAL
3.86,9,0.255,TRANSFER
120.0,13,0.363,TRANSFER
11.49,10,0.352,PURCHASE
70.77,18,0.355,PAYMENT
7.79,21,0.36,TRANSFER
165.12,15,0.146,PURCHASE
8.51,12,0.325,PAYMENT
606.15,15,0.301,WITHDRAWAL
1.91,8,0.241,TRANSFER
67.33,13,0.148,PAYMENT
30.36,17,0.31,PURCHASE
669.69,11,0.134,WITHDRAWAL
428.16,13,0.318,PAYMENT
211.06,16,0.211,WITHDRAWAL
55.85,13,0.282,PAYMENT
81.43,8,0.532,WITHDRAWAL
368.99,9,0.46,PAYMENT
78.55,20,0.288,TRANSFER
10.24,12,0.385,PAYMENT
34.01,16,0.328,PURCHASE
564.65,7,0.227,WITHDRAWAL
21.86,16,0.261,PAYMENT
56.31,13,0.163,WITHDRAWAL
1755.9,17,0.163,WITHDRAWAL
113.98,7,0.423,WITHDRAWAL
50.19,11,0.134,PAYMENT
131.43,16,0.355,TRANSFER
173.91,8,0.119,PAYMENT
25.61,13,0.347,PURCHASE
913.51,17,0.208,PAYMENT
20.06,21,0.279,PURCHASE
23.09,11,0.334,TRANSFER
63.61,20,0.21,PURCHASE
820.66,9,0.17,PURCHASE
172.3,11,0.271,TRANSFER
483.76,11,0.211,PAYMENT
18.99,17,0.308,WITHDRAWAL
27.87,22,0.047,TRANSFER
141.72,9,0.205,WITHDRAWAL
6.29,9,0.414,WITHDRAWAL
26.7,14,0.241,PURCHASE
122.44,14,0.334,PURCHASE
327.59,22,0.203,PURCHASE
100.22,22,0.179,WITHDRAWAL
20.7,17,0.097,TRANSFER
157.17,9,0.063,TRANSFER
23.92,21,0.29,PURCHASE
60.16,7,0.142,WITHDRAWAL
103.35,8,0.389,TRANSFER
5.33,17,0.179,WITHDRAWAL
180.74,8,0.359,WITHDRAWAL
20.85,13,0.399,PAYMENT
651.91,18,0.229,PURCHASE
17.89,16,0.151,PURCHASE
45.35,17,0.443,PAYMENT
2.63,16,0.297,TRANSFER
356.08,21,0.203,PAYMENT
303.99,9,0.137,PURCHASE
577.27,20,0.206,TRANSFER
724.07,15,0.168,PURCHASE
26.58,15,0.549,PAYMENT
34.4,16,0.213,WITHDRAWAL
540.97,15,0.343,PAYMENT
19.96,9,0.408,WITHDRAWAL
194.41,18,0.354,PURCHASE
5.34,16,0.264,PAYMENT
11.61,9,0.207,PAYMENT
312.71,16,0.138,WITHDRAWAL
29.39,10,0.32,PURCHASE
0.09,11,0.104,WITHDRAWAL
46.95,17,0.284,PAYMENT
225.33,9,0.222,WITHDRAWAL
79.35,7,0.256,WITHDRAWAL
4.65,8,0.222,WITHDRAWAL
1692.86,8,0.126,TRANSFER
7.26,20,0.229,PAYMENT
181.96,22,0.133,PURCHASE
304.14,9,0.059,TRANSFER
145.4,12,0.282,TRANSFER
62.81,7,0.344,PURCHASE
27.38,12,0.065,WITHDRAWAL
51.96,7,0.405,TRANSFER
624.92,10,0.385,PURCHASE
49.32,15,0.013,TRANSFER
142.11,9,0.446,PURCHASE
1545.55,9,0.525,WITHDRAWAL
10.78,14,0.44,PURCHASE
14.55,16,0.197,PAYMENT
8.09,13,0.228,PURCHASE
228.82,10,0.3,WITHDRAWAL
40.94,22,0.262,PURCHASE
20.03,9,0.315,WITHDRAWAL
20.62,7,0.255,PAYMENT
7.69,14,0.258,PAYMENT
8.83,16,0.326,PAYMENT
91.39,9,0.365,PAYMENT
36.98,19,0.14,PAYMENT
28.03,14,0.268,PURCHASE
70.7,22,0.279,PURCHASE
2.5,16,0.205,WITHDRAWAL
6.17,10,0.508,PURCHASE
61.75,21,0.016,PAYMENT
13.59,7,0.021,PURCHASE
24.23,15,0.459,WITHDRAWAL
33.22,21,0.652,PAYMENT
26.62,13,0.499,TRANSFER
477.38,21,0.532,WITHDRAWAL
1744.48,12,0.074,TRANSFER
646.21,22,0.555,WITHDRAWAL
1.01,16,0.114,TRANSFER
62.67,22,0.286,PURCHASE
18.48,9,0.481,PURCHASE
49.8,7,0.042,WITHDRAWAL
17.53,21,0.105,PURCHASE
150.38,17,0.053,WITHDRAWAL
313.22,22,0.3,TRANSFER
6.88,22,0.365,WITHDRAWAL
83.05,11,0.354,WITHDRAWAL
32.98,10,0.423,PAYMENT
20.59,19,0.143,WITHDRAWAL
15.51,7,0.278,WITHDRAWAL
32.48,15,0.188,TRANSFER
27.81,22,0.244,TRANSFER
110.76,12,0.258,PURCHASE
42.91,14,0.314,PAYMENT
398.13,15,0.188,WITHDRAWAL
1.44,21,0.162,PAYMENT
4.93,10,0.181,PURCHASE
41.77,11,0.48,PURCHASE
62.47,17,0.021,PURCHASE
954.67,16,0.129,PURCHASE
165.47,9,0.228,TRANSFER
384.69,14,0.338,PURCHASE
2.07,9,0.405,PAYMENT
378.66,18,0.227,PAYMENT
5.19,15,0.084,TRANSFER
49.57,12,0.283,TRANSFER
45.93,7,0.123,TRANSFER
345.44,12,0.134,PURCHASE
26.08,9,0.234,WITHDRAWAL
16.31,9,0.652,WITHDRAWAL
1335.36,11,0.242,TRANSFER
106.42,11,0.346,PAYMENT
814.11,10,0.29,WITHDRAWAL
45.07,22,0.275,PURCHASE
10.88,19,0.592,WITHDRAWAL
8.82,22,0.036,WITHDRAWAL
236.69,8,0.288,TRANSFER
454.0,11,0.555,TRANSFER
8.73,13,0.156,PURCHASE
28.47,10,0.343,TRANSFER
70.17,9,0.345,TRANSFER
224.7,14,0.426,WITHDRAWAL
4.28,22,0.114,TRANSFER
27.71,21,0.308,PAYMENT
142.65,9,0.37,WITHDRAWAL
4.51,22,0.176,PAYMENT
9.17,22,0.247,PAYMENT
485.45,9,0.394,PURCHASE
23.71,15,0.464,WITHDRAWAL
23.24,18,0.027,WITHDRAWAL
432.21,20,0.52,WITHDRAWAL
0.17,21,0.399,PURCHASE
31.92,18,0.015,PURCHASE
183.03,11,0.047,PURCHASE
126.59,9,0.269,TRANSFER
19.05,7,0.435,WITHDRAWAL
587.18,10,0.145,TRANSFER
21.75,19,0.195,PAYMENT
18.54,7,0.141,WITHDRAWAL
12.69,21,0.318,PURCHASE
18.55,20,0.536,TRANSFER
99.79,7,0.36,PAYMENT
14.88,15,0.206,TRANSFER
39.21,21,0.107,PAYMENT
22.0,15,0.33,WITHDRAWAL
66.93,11,0.03,WITHDRAWAL
1205.43,13,0.059,WITHDRAWAL
9.22,21,0.205,PAYMENT
24.9,13,0.677,PAYMENT
42.35,19,0.12,PURCHASE
33.0,10,0.364,PAYMENT
4.63,15,0.43,PAYMENT
46.64,12,0.447,WITHDRAWAL
18.81,17,0.144,WITHDRAWAL
81.2,15,0.284,PAYMENT
95.19,12,0.42,WITHDRAWAL
52.75,12,0.03,WITHDRAWAL
44.49,9,0.488,PURCHASE
187.1,7,0.221,WITHDRAWAL
52.78,18,0.334,PURCHASE
14.86,9,0.057,WITHDRAWAL
122.84,22,0.536,WITHDRAWAL
41.86,8,0.516,WITHDRAWAL
74.33,8,0.272,PAYMENT
131.37,13,0.703,PAYMENT
8.66,16,0.105,PURCHASE
46.8,13,0.278,WITHDRAWAL
91.66,13,0.592,PURCHASE
12.05,14,0.339,WITHDRAWAL
28.11,17,0.58,PURCHASE
48.27,14,0.432,WITHDRAWAL
28.05,7,0.223,TRANSFER
155.58,18,0.499,WITHDRAWAL
82.16,8,0.403,PURCHASE
1.86,19,0.156,PURCHASE
66.28,14,0.08,PAYMENT
7.26,8,0.311,WITHDRAWAL
1.53,19,0.063,PAYMENT
36.68,21,0.044,PAYMENT
37.29,7,0.545,TRANSFER
964.34,9,0.784,TRANSFER
14.25,12,0.141,WITHDRAWAL
50.49,16,0.07,PURCHASE
19.33,16,0.225,TRANSFER
378.85,13,0.595,TRANSFER
15.06,13,0.016,PURCHASE
431.27,8,0.437,WITHDRAWAL
45.86,22,0.704,PAYMENT
104.41,22,0.123,TRANSFER
17.95,19,0.107,PAYMENT
14.94,14,0.322,PURCHASE
173.26,13,0.375,PURCHASE
28.5,13,0.084,PURCHASE
30.4,9,0.259,PAYMENT
245.38,12,0.062,TRANSFER
61.86,10,0.465,WITHDRAWAL
440.39,12,0.055,WITHDRAWAL
114.73,10,0.204,WITHDRAWAL
136.96,15,0.482,TRANSFER
245.27,18,0.643,PURCHASE
110.85,11,0.046,WITHDRAWAL
20.98,12,0.625,WITHDRAWAL
19.31,15,0.234,WITHDRAWAL
4.79,16,0.407,PAYMENT
259.55,11,0.212,TRANSFER
647.73,13,0.212,PAYMENT
19.24,16,0.217,PURCHASE
516.4,11,0.389,PURCHASE
6.32,9,0.038,TRANSFER
42.14,19,0.205,TRANSFER
214.75,10,0.265,PAYMENT
96.45,9,0.299,WITHDRAWAL
17.85,11,0.275,TRANSFER
30.98,13,0.264,WITHDRAWAL
57.42,13,0.464,PURCHASE
390.83,15,0.487,TRANSFER
192.5,18,0.348,WITHDRAWAL
2400.86,13,0.109,TRANSFER
159.85,15,0.061,PURCHASE
106.46,12,0.475,WITHDRAWAL
45.87,10,0.34,PAYMENT
24.14,11,0.105,PURCHASE
60.8,12,0.348,TRANSFER
224.05,7,0.41,TRANSFER
29.53,15,0.187,PAYMENT
16.23,7,0.401,PAYMENT
255.98,12,0.105,PAYMENT
68.08,12,0.333,WITHDRAWAL
44.38,8,0.195,WITHDRAWAL
8.4,13,0.331,TRANSFER
39.44,8,0.506,TRANSFER
59.09,14,0.302,TRANSFER
23.63,7,0.165,PURCHASE
99.49,9,0.312,PAYMENT
379.63,20,0.152,WITHDRAWAL
99.15,19,0.202,PAYMENT
37.88,8,0.286,PAYMENT
36.4,11,0.616,PAYMENT
110.22,7,0.17,PAYMENT
1.49,21,0.354,TRANSFER
89.1,10,0.108,PAYMENT
12.82,12,0.563,TRANSFER
33.42,18,0.113,WITHDRAWAL
6.14,13,0.28,PAYMENT
269.75,18,0.177,PAYMENT
20.21,9,0.263,PURCHASE
1747.32,13,0.213,WITHDRAWAL
474.98,11,0.178,TRANSFER
28.24,12,0.364,WITHDRAWAL
33.09,17,0.595,PURCHASE
87.38,13,0.048,TRANSFER
135.47,14,0.2,PAYMENT
8.03,10,0.269,PURCHASE
78.01,16,0.126,TRANSFER
1.9,17,0.17,WITHDRAWAL
31.94,16,0.32,PAYMENT
116.79,10,0.394,TRANSFER
14.69,11,0.294,TRANSFER
120.56,21,0.197,WITHDRAWAL
39.39,12,0.348,PURCHASE
116.09,8,0.454,PURCHASE
215.37,13,0.347,TRANSFER
63.18,8,0.153,PURCHASE
251.48,11,0.354,TRANSFER
9.19,11,0.198,TRANSFER
90.66,11,0.18,WITHDRAWAL
64.93,7,0.239,PURCHASE
4.22,20,0.226,PAYMENT
79.32,14,0.211,PURCHASE
5.81,10,0.353,WITHDRAWAL
112.44,21,0.136,TRANSFER
4.85,11,0.233,WITHDRAWAL
25.72,10,0.155,WITHDRAWAL
70.98,13,0.469,PURCHASE
262.01,8,0.135,WITHDRAWAL
74.5,14,0.127,PAYMENT
26.16,9,0.615,WITHDRAWAL
121.7,14,0.098,WITHDRAWAL
156.05,22,0.072,WITHDRAWAL
493.59,9,0.288,TRANSFER
259.79,13,0.057,PAYMENT
28.0,17,0.066,WITHDRAWAL
71.49,11,0.261,PURCHASE
32.08,12,0.364,PURCHASE
51.94,8,0.259,PAYMENT
114.84,11,0.183,PAYMENT
152.88,17,0.172,PURCHASE
67.86,13,0.232,PURCHASE
325.77,16,0.297,WITHDRAWAL
26.79,16,0.296,PURCHASE
124.43,13,0.773,PAYMENT
17.14,11,0.61,PAYMENT
20.69,18,0.305,PURCHASE
168.31,19,0.192,TRANSFER
275.57,18,0.221,TRANSFER
25.67,15,0.243,PAYMENT
49.84,8,0.339,PAYMENT
343.38,11,0.067,PAYMENT
464.91,14,0.448,WITHDRAWAL
320.73,19,0.101,PAYMENT
52.42,14,0.325,WITHDRAWAL
435.27,12,0.425,WITHDRAWAL
36.4,16,0.223,PURCHASE
8.22,11,0.258,WITHDRAWAL
46.94,7,0.207,PURCHASE
439.36,12,0.18,PURCHASE
161.33,8,0.405,WITHDRAWAL
1679.69,17,0.134,PURCHASE
80.68,16,0.166,PURCHASE
0.39,8,0.57,WITHDRAWAL
150.22,12,0.226,PAYMENT
5.49,7,0.049,TRANSFER
195.24,15,0.156,PURCHASE
63.03,8,0.152,PURCHASE
25.59,11,0.488,WITHDRAWAL
9.13,18,0.255,TRANSFER
57.12,11,0.327,WITHDRAWAL
68.75,17,0.142,PURCHASE
3.28,22,0.215,PAYMENT
865.7,7,0.195,PAYMENT
15.63,17,0.279,WITHDRAWAL
22.43,7,0.111,PAYMENT
4.91,7,0.501,WITHDRAWAL
102.85,14,0.347,PAYMENT
115.65,9,0.164,TRANSFER
155.63,8,0.275,PAYMENT
4.09,21,0.206,PAYMENT
24.83,11,0.177,PURCHASE
1.72,11,0.392,WITHDRAWAL
11.08,14,0.5,PAYMENT
1.78,12,0.243,PAYMENT
45.64,13,0.241,TRANSFER
30.71,12,0.144,WITHDRAWAL
16.0,10,0.311,PURCHASE
234.13,14,0.537,WITHDRAWAL
101.09,14,0.219,WITHDRAWAL
13.74,13,0.134,PAYMENT
20.99,16,0.154,PURCHASE
111.75,10,0.013,WITHDRAWAL
26.36,13,0.299,PURCHASE
227.4,7,0.093,WITHDRAWAL
12.51,9,0.324,PAYMENT
2.49,17,0.284,WITHDRAWAL
66.69,12,0.161,TRANSFER
66.75,7,0.102,WITHDRAWAL
100.42,14,0.263,PAYMENT
2535.13,15,0.356,TRANSFER
9.89,18,0.451,TRANSFER
189.49,8,0.28,WITHDRAWAL
30.13,16,0.159,TRANSFER
65.63,9,0.298,TRANSFER
8.7,10,0.259,TRANSFER
38.89,9,0.474,TRANSFER
36.35,16,0.182,PURCHASE
106.56,22,0.159,TRANSFER
92.06,8,0.31,TRANSFER
6.76,7,0.44,TRANSFER
27.6,12,0.273,PURCHASE
27.86,8,0.068,PURCHASE
7.18,11,0.376,WITHDRAWAL
32.31,12,0.201,TRANSFER
87.76,18,0.249,PURCHASE
35.09,15,0.249,WITHDRAWAL
2.57,10,0.622,PAYMENT
103.8,10,0.194,PURCHASE
190.55,10,0.054,TRANSFER
132.37,8,0.436,TRANSFER
25.48,8,0.328,PAYMENT
104.81,7,0.348,TRANSFER
20.02,15,0.253,TRANSFER
6.31,20,0.265,PURCHASE
46.69,7,0.396,PAYMENT
13.37,14,0.244,PURCHASE
179.46,19,0.536,PURCHASE
88.25,12,0.408,TRANSFER
188.38,15,0.351,PURCHASE
81.43,18,0.575,WITHDRAWAL
4.81,7,0.076,TRANSFER
26.35,17,0.147,WITHDRAWAL
30.31,20,0.114,PAYMENT
99.62,9,0.268,PAYMENT
114.88,7,0.053,TRANSFER
47.4,14,0.494,TRANSFER
14.0,8,0.309,WITHDRAWAL
32.39,22,0.152,TRANSFER
85.88,15,0.291,TRANSFER
250.27,19,0.241,WITHDRAWAL
68.27,9,0.116,WITHDRAWAL
47.14,12,0.446,WITHDRAWAL
25.81,8,0.221,PAYMENT
81.04,11,0.682,PAYMENT
506.74,12,0.541,PAYMENT
3.59,16,0.455,TRANSFER
201.9,17,0.123,PAYMENT
43.11,15,0.451,PURCHASE
1.24,13,0.32,PURCHASE
50.79,12,0.142,PURCHASE
99.49,11,0.358,PAYMENT
14.2,14,0.609,TRANSFER
10.91,18,0.19,TRANSFER
293.04,18,0.421,PAYMENT
1636.15,22,0.192,TRANSFER
63.75,18,0.15,PAYMENT
174.53,13,0.242,PURCHASE
94.28,12,0.077,TRANSFER
79.37,18,0.388,PAYMENT
329.12,15,0.322,PAYMENT
143.3,7,0.136,PURCHASE
146.39,7,0.321,PAYMENT
972.66,20,0.15,WITHDRAWAL
75.45,7,0.206,TRANSFER
73.61,10,0.283,PURCHASE
5.76,7,0.025,PAYMENT
7.81,15,0.336,WITHDRAWAL
21.16,16,0.302,TRANSFER
148.69,15,0.314,PAYMENT
1210.34,21,0.069,PURCHASE
131.3,15,0.01,WITHDRAWAL
9.97,11,0.218,PAYMENT
85.6,17,0.295,PURCHASE
70.14,19,0.163,TRANSFER
13.57,13,0.645,WITHDRAWAL
84.94,14,0.33,PURCHASE
10.24,13,0.118,PURCHASE
40.07,16,0.371,WITHDRAWAL
28.8,14,0.211,TRANSFER
8.51,13,0.445,PURCHASE
51.0,12,0.561,TRANSFER
221.5,15,0.575,PURCHASE
10.84,22,0.336,TRANSFER
1.37,14,0.206,PURCHASE
17.59,20,0.537,PURCHASE
206.3,18,0.375,PURCHASE
7.9,19,0.083,PURCHASE
659.62,18,0.073,WITHDRAWAL
93.57,16,0.064,PURCHASE
11.79,15,0.334,WITHDRAWAL
5.25,17,0.021,TRANSFER
536.42,11,0.222,PAYMENT
571.83,12,0.321,PAYMENT
7.37,11,0.276,WITHDRAWAL
58.99,7,0.715,PAYMENT
8.53,12,0.271,WITHDRAWAL
4.74,16,0.159,TRANSFER
79.98,12,0.158,PURCHASE
63.16,17,0.302,WITHDRAWAL
37.0,10,0.245,WITHDRAWAL
44.79,15,0.338,TRANSFER
229.7,14,0.323,TRANSFER
15.45,19,0.376,PURCHASE
595.89,14,0.736,TRANSFER
14.27,15,0.144,WITHDRAWAL
35.2,15,0.242,PAYMENT
18.5,17,0.51,WITHDRAWAL
145.64,17,0.383,TRANSFER
32.12,15,0.237,TRANSFER
37.71,13,0.651,TRANSFER
51.41,11,0.725,TRANSFER
8.64,10,0.236,PAYMENT
27.35,10,0.239,TRANSFER
2.66,13,0.281,PAYMENT
36.69,9,0.135,PURCHASE
81.06,12,0.107,PURCHASE
29.25,10,0.335,TRANSFER
594.85,9,0.324,TRANSFER
9.76,10,0.041,TRANSFER
467.89,7,0.127,PAYMENT
8.66,11,0.128,PURCHASE
179.71,13,0.345,PAYMENT
120.0,10,0.207,WITHDRAWAL
411.17,12,0.169,WITHDRAWAL
7.12,8,0.487,TRANSFER
127.46,16,0.266,WITHDRAWAL
93.74,22,0.481,WITHDRAWAL
11.7,22,0.227,PURCHASE
23.58,9,0.545,PURCHASE
50.66,11,0.223,WITHDRAWAL
13.27,8,0.618,WITHDRAWAL
243.93,7,0.367,TRANSFER
96.85,8,0.08,TRANSFER
13.66,12,0.126,TRANSFER
173.46,17,0.088,PAYMENT
127.88,10,0.133,WITHDRAWAL
79.13,12,0.334,PURCHASE
18.7,8,0.344,WITHDRAWAL
80.24,8,0.149,TRANSFER
27.21,14,0.335,PURCHASE
81.09,15,0.066,TRANSFER
287.52,20,0.291,WITHDRAWAL
94.03,12,0.103,TRANSFER
11.02,8,0.573,PAYMENT
60.25,17,0.292,PAYMENT
1506.27,9,0.063,PURCHASE
19.8,22,0.256,TRANSFER
86.06,21,0.364,PAYMENT
5.33,14,0.352,WITHDRAWAL
62.55,8,0.068,PAYMENT
168.01,8,0.174,TRANSFER
45.31,15,0.303,PAYMENT
11.38,13,0.487,PURCHASE
206.97,21,0.363,WITHDRAWAL
9.94,9,0.463,TRANSFER
407.22,7,0.362,WITHDRAWAL
614.19,14,0.35,PAYMENT
57.25,13,0.144,PAYMENT
11.25,17,0.321,TRANSFER
30.58,7,0.279,PAYMENT
11.41,20,0.188,PURCHASE
64.43,10,0.317,WITHDRAWAL
101.62,16,0.187,TRANSFER
65.23,17,0.105,PAYMENT
74.63,21,0.477,PAYMENT
106.24,19,0.216,PAYMENT
141.19,13,0.332,PURCHASE
136.75,9,0.748,PURCHASE
302.38,11,0.019,PAYMENT
5.21,13,0.664,TRANSFER
223.84,9,0.231,PURCHASE
62.33,13,0.292,WITHDRAWAL
136.82,14,0.38,PAYMENT
187.33,10,0.319,PURCHASE
91.29,14,0.407,WITHDRAWAL
23.22,11,0.34,WITHDRAWAL
43.18,18,0.314,PURCHASE
20.56,13,0.243,TRANSFER
30.04,9,0.163,PURCHASE
14.39,13,0.145,WITHDRAWAL
38.39,7,0.259,TRANSFER
72.7,9,0.387,TRANSFER
37.12,11,0.057,PAYMENT
24.95,8,0.088,TRANSFER
6.9,11,0.234,PAYMENT
33.51,15,0.187,TRANSFER
67.0,18,0.098,PURCHASE
42.9,7,0.202,PURCHASE
10.33,8,0.328,PURCHASE
15.71,16,0.376,PURCHASE
230.09,13,0.74,TRANSFER
3.45,20,0.473,TRANSFER
132.86,12,0.46,TRANSFER
24.18,15,0.069,PURCHASE
4.02,17,0.268,WITHDRAWAL
522.96,11,0.052,WITHDRAWAL
9.46,17,0.239,PURCHASE
24.41,12,0.337,PURCHASE
14.03,19,0.248,WITHDRAWAL
151.83,7,0.577,WITHDRAWAL
60.9,16,0.183,TRANSFER
109.15,19,0.163,PAYMENT
73.83,7,0.548,WITHDRAWAL
7.34,7,0.388,TRANSFER
15.37,14,0.419,PAYMENT
136.73,9,0.047,PURCHASE
17.3,14,0.116,WITHDRAWAL
5.59,12,0.469,PAYMENT
332.24,17,0.349,PAYMENT
42.3,16,0.01,TRANSFER
301.77,19,0.432,PAYMENT
60.47,11,0.325,WITHDRAWAL
1551.51,16,0.262,PURCHASE
42.74,9,0.239,WITHDRAWAL
17.93,10,0.277,TRANSFER
12.69,12,0.369,WITHDRAWAL
890.9,19,0.466,WITHDRAWAL
25.5,12,0.117,PURCHASE
2.07,16,0.267,PAYMENT
72.73,15,0.31,PAYMENT
25.72,17,0.239,WITHDRAWAL
25.11,12,0.136,PAYMENT
80.1,11,0.381,TRANSFER
112.6,14,0.182,TRANSFER
20.62,15,0.164,WITHDRAWAL
44.05,18,0.432,TRANSFER
36.42,17,0.27,WITHDRAWAL
374.63,22,0.318,PAYMENT
28.1,9,0.087,TRANSFER
832.12,10,0.063,PURCHASE
70.68,22,0.286,PURCHASE
6.73,14,0.35,WITHDRAWAL
344.04,21,0.413,TRANSFER
37.39,7,0.402,PURCHASE
5.2,12,0.063,WITHDRAWAL
23.36,22,0.337,PAYMENT
114.58,12,0.101,PAYMENT
6.53,14,0.222,PURCHASE
312.11,13,0.39,WITHDRAWAL
862.6,16,0.186,PURCHASE
57.76,10,0.253,PURCHASE
43.98,16,0.131,PURCHASE
32.74,21,0.263,PAYMENT
25.79,15,0.192,PAYMENT
427.29,17,0.18,PAYMENT
15.58,15,0.163,PURCHASE
48.73,15,0.343,PAYMENT
186.61,9,0.025,PURCHASE
48.65,22,0.528,TRANSFER
1922.67,22,0.763,WITHDRAWAL
8.41,20,0.251,TRANSFER
8.42,8,0.119,PURCHASE
116.89,14,0.51,TRANSFER
23.37,22,0.498,PURCHASE
39.17,19,0.63,TRANSFER
13.84,12,0.18,TRANSFER
406.45,12,0.305,WITHDRAWAL
20.83,17,0.229,PURCHASE
9.58,9,0.176,TRANSFER
33.5,17,0.04,PAYMENT
20.55,22,0.419,PAYMENT
642.25,11,0.363,PURCHASE
